barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
80040248;تونة ريوماري80جرام;تونة ريوماري80جرام;1;7;6.5;6.5;1;FALSE;0
6281041291112;زيتون شرائح حار حلواني 325 جرام;زيتون شرائح حار حلواني 325 جرام;1;14;13.5;13.5;1;FALSE;0
6287018610030;قفازات لارج;قفازات لارج;1;35;34.5;34.5;1;FALSE;0
6281022115352;لبن قليل الدسم الصافي 1.5 لتر;لبن قليل الدسم الصافي 1.5 لتر;1;7.5;0;0;1;FALSE;0
3073781025194;جبن البقرة الضاحكة 600 جرام;جبن البقرة الضاحكة 600 جرام;1;18;17.5;17.5;1;FALSE;0
6281057081011;زبدة نادك 200 جرام;زبدة نادك 200 جرام;1;10;9.5;9.5;1;FALSE;0
7894904052684;دجاج سيرا برازيلي 1200;دجاج سيرا برازيلي 1200;1;13;12;12;1;FALSE;0
6281123032428;قراميش زعتر 50 جرام;قراميش زعتر 50 جرام;1;2;1.5;1.5;1;FALSE;0
6281100173359;فطيرة فرنسيه فوشيه 60 جرام;فطيرة فرنسيه فوشيه 60 جرام;1;2;1.5;1.5;1;FALSE;0
17892020075034;دجاج سيارا 1200 جرام;دجاج سيارا 1200 جرام;1;125;124.852;124.5;1;FALSE;0
6281051006034;بازلاء حياة 400 جرام;بازلاء حياة 400 جرام;1;4;3.5;3.5;1;FALSE;0
6281100026129;عسل بيدر 80 جرام;عسل بيدر 80 جرام;1;2.5;2;2;1;FALSE;0
165513449627;عسل بيدر 4*80 جرام;عسل بيدر 4*80 جرام;1;10;9.5;9.5;1;FALSE;0
6281100022022;مخلل مشكل بيدر 660 جرام;مخلل مشكل بيدر 660 جرام;1;8;7.5;7.5;1;FALSE;0
6942836713232;هيرشي شوكولاتة275 جرام;هيرشي شوكولاتة275 جرام;1;20;19.5;19.5;1;FALSE;0
6281022159035;عصير فراولة الصافي 180 مل;عصير فراولة الصافي 180 مل;1;1.5;1;1;1;FALSE;0
6281022135039;لبنة تركية الصافي 475 جرام;لبنة تركية الصافي 475 جرام;1;15;14.5;14.5;1;FALSE;0
683474060239;رقائق الأرز 400 جرام;رقائق الأرز 400 جرام;1;6;5.5;5.5;1;FALSE;0
6281016012308;بطاطس ردجز البطل 155 جرام;بطاطس ردجز البطل 155 جرام;1;5;4.5;4.5;1;FALSE;0
007512802618;فحم صغير;فحم صغير;1;5;4.5;4.5;1;FALSE;0
005512429072;فحم كيس 3 كيلو;فحم كيس 3 كيلو;1;30;29.5;29.5;1;FALSE;0
9782014759969;معمول عزيزة حلويات فهد;معمول عزيزة حلويات فهد;1;12;11.5;11.5;1;FALSE;0
9780201379624;بسكوت حلويات فهد;بسكوت حلويات فهد;1;7;6.5;6.5;1;FALSE;0
225512325627;بطاطس قلي كبير;بطاطس قلي كبير 400 جرام;1;10;5.5;5.5;1;FALSE;0
1234543675;مشكل حب نصف كيلو;مشكل حب نصف كيلو;1;23;22.5;22.5;1;FALSE;0
165518549627;فول سوداني زيت نصف كيلو;فول سوداني زيت نصف كيلو;1;9;7.5;7.5;1;FALSE;0
165519649627;فول سوداني نص كيلو;فول سوداني نص كيلو;1;9;8.5;8.5;1;FALSE;0
6281051006096;مشكل خضار حياة 400 جرام;مشكل خضار حياة 400 جرام;1;4;3.5;3.5;1;FALSE;0
6281100930235;صدور دجاج شهية 400 جدرام;صدور دجاج شهية 400 جدرام;1;12;11.5;11.5;1;FALSE;0
6281044992948;صدور دجاج وفرة 1 كيلو;صدور دجاج وفرة 1 كيلو;1;25;24.5;24.5;1;FALSE;0
17894904054807;دجاج برازيلي 1000 جرام;دجاج برازيلي 1000 جرام;10;125;125.125;124.5;1;FALSE;0
007519832469;دبة غاز صغيرة;دبة غاز صغيرة;1;55;54.5;54.5;1;FALSE;0
00006137;رقائق الأرز 400 جرام;رقائق الأرز 400 جرام;1;5;4.5;4.5;1;FALSE;0
6281101740802;ملح ناعم العيسى 4 كيلو;ملح ناعم العيسى 4 كيلو;1;4;3.5;3.5;1;FALSE;0
6281007058124;بيك رولز زعتر 36 جرام;بيك رولز زعتر 36 جرام;1;1;0.5;0.5;1;FALSE;0
6281007058117;بيك رولز بيتزا 36 جرام;بيك رولز بيتزا 36 جرام;1;1;0.5;0.5;1;FALSE;0
6281007057967;جبن المراعي 500 جرام;جبن المراعي 500 جرام;1;12;11.5;11.5;1;FALSE;0
6297074229;عدس 1ك;مصور ثابت 1ك;1;8;7.5;7.5;1;FALSE;0
6281100022534;دبس رمان بيدر 400مل;دبس رمان بيدر 400مل;1;8;6;6;1;FALSE;0
6281036005281;ليز ماكس حار نار 75 جرام;ليز ماكس حار نار 75 جرام;1;3.5;3;3;1;FALSE;0
6281036022073;ليز بوبابلز جبن الكريمة 150 جرام;ليز بوبابلز جبن الكريمة 150 جرام;1;6.5;6;6;1;FALSE;0
6281036113559;ليز بالجبن 23 جرام;ليز بالجبن 23 جرام;27;14;13.5;13.5;1;FALSE;0
6281016011134;بسكويت تيشوب طيب 10+2;بسكويت تيشوب طيب 10+2;1;11;10.5;10.5;1;FALSE;0
6281016012322;بطاطس البطل ردجز ليمون 155 جرام;بطاطس البطل ردجز ليمون 155 جرام;1;5;4.5;4.5;1;FALSE;0
8000380000388;شوكولاتة لواكر 90 جرام;شوكولاتة لواكر 90 جرام;1;20;19.5;19.5;1;FALSE;0
8295080756080;حلاوة خدود البنات;حلاوة خدود البنات;1;6.5;6;6;1;FALSE;0
6281100700708;حلاوة بيك سمارت;حلاوة بيك سمارت;5;12;11.5;11.5;1;FALSE;0
6968100301165;شوكولاتة كاندي 16 جرام;شوكولاتة كاندي 16 جرام;1;1;0.5;0.5;1;FALSE;0
6975896421618;حلاوة قلادة 12 جرام;حلاوة قلادة 12 جرام;4;24;23.5;23.5;1;FALSE;0
6923634955338;حلاوة فرقعة 5.5 جرام;حلاوة فرقعة 5.5 جرام;6;20;19.5;19.5;1;FALSE;0
7622210512697;شوكولاتة كالدبوري 21 جرام;شوكولاتة كالدبوري 21 جرام;17;9;8.5;8.5;1;FALSE;0
6281102040185;صحن شوربة رقم 10;صحن شوربة رقم 10;1;4;3.5;3.5;1;FALSE;0
6287014550026;صحن بلاستيك رقم 22;صحن بلاستيك رقم 22;1;10;9;9;1;FALSE;0
00006235;قرنفل 40 جرام;قرنفل 40 جرام;1;4;3.5;3.5;1;FALSE;0
